conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1892396778550407349,Thu Feb 20 02:12:05 +0000 2025,0,Nggak perlu takut BBRI tetap solid! Lihat aja pertumbuhan bisnisnya yang terus naik! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/LYnD6zc1SY,1892396778550407349,https://pbs.twimg.com/media/GkMk1eTasAA8-pE.jpg,,in,,0,0,0,https://x.com/MelatiKsm/status/1892396778550407349,1546789408372043778,MelatiKsm
1892396666759565729,Thu Feb 20 02:11:39 +0000 2025,0,YouTuber bisa buat konten apapun tapi angka nggak bisa bohong. BBRI tetap jadi bank dengan fundamental terbaik! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/CslYcWmaBn,1892396666759565729,https://pbs.twimg.com/media/GkMkvBVbUAMMZ8j.jpg,,in,,0,0,0,https://x.com/MelatiKsm/status/1892396666759565729,1546789408372043778,MelatiKsm
1892396546206933413,Thu Feb 20 02:11:10 +0000 2025,0,Nggak perlu ragu sama BBRI! Kinerjanya stabil cuan jalan terus dan bisnis makin kuat! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/tCHo1DPQp6,1892396546206933413,https://pbs.twimg.com/media/GkMkn5lb0AAyZ57.jpg,,in,,0,0,0,https://x.com/MelatiKsm/status/1892396546206933413,1546789408372043778,MelatiKsm
1892396439248019671,Thu Feb 20 02:10:44 +0000 2025,0,Fundamental BBRI udah teruji! Jangan termakan isu cek laporan keuangannya yang tetap stabil! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/jelAOsbaPB,1892396439248019671,https://pbs.twimg.com/media/GkMkh0abUAIJAYo.jpg,,in,,0,0,0,https://x.com/MelatiKsm/status/1892396439248019671,1546789408372043778,MelatiKsm
1892396155679453446,Thu Feb 20 02:09:37 +0000 2025,0,Saham BBRI tetap jadi pilihan oke! Fundamentalnya kuat pertumbuhan bisnis konsisten cuan tetap aman! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/YUzRKtwMQP,1892396155679453446,https://pbs.twimg.com/media/GkMkROwa4AAJb0s.jpg,,in,,0,0,0,https://x.com/DipaRamadan3/status/1892396155679453446,1546713190809374721,DipaRamadan3
1892396016327934335,Thu Feb 20 02:09:03 +0000 2025,0,Ada yang coba nakut-nakutin investor BBRI tapi tenang aja! Bisnis tetap cuan fundamental tetap stabil! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/IRYgyCitnu,1892396016327934335,https://pbs.twimg.com/media/GkMkJInbUAEelrC.jpg,,in,,0,0,0,https://x.com/DipaRamadan3/status/1892396016327934335,1546713190809374721,DipaRamadan3
1892391521334288751,Thu Feb 20 01:51:12 +0000 2025,0,Jangan panik denger konten negatif! BBRI masih jadi bank dengan fundamental solid dan kinerja top! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/IVeaA13iog,1892391521334288751,https://pbs.twimg.com/media/GkMgC7VbUAQsfZY.jpg,,in,,0,0,0,https://x.com/DipaRamadan3/status/1892391521334288751,1546713190809374721,DipaRamadan3
1892391421354922205,Thu Feb 20 01:50:48 +0000 2025,0,Saham BBRI banyak dibahas negatif? Cek laporan keuangan aja pasti makin yakin kalau fundamentalnya kuat! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/5USh3m6bkW,1892391421354922205,https://pbs.twimg.com/media/GkMf9liWwAAanA7.jpg,,in,,0,0,0,https://x.com/DipaRamadan3/status/1892391421354922205,1546713190809374721,DipaRamadan3
1892391284507365846,Thu Feb 20 01:50:15 +0000 2025,0,YouTuber boleh ngomong apa aja tapi data nggak bisa bohong. BBRI masih punya fundamental terbaik! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/kt7wb0hWID,1892391284507365846,https://pbs.twimg.com/media/GkMf1yWbUBojLHH.jpg,,in,,0,0,0,https://x.com/DipaRamadan3/status/1892391284507365846,1546713190809374721,DipaRamadan3
1892391158640242934,Thu Feb 20 01:49:45 +0000 2025,0,Kinerja BBRI nggak main-main! Laporan keuangannya kuat bisnisnya stabil cuan terus! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/G4ne4FlA8L,1892391158640242934,https://pbs.twimg.com/media/GkMfsvDWsAAd2u-.jpg,,in,,0,0,0,https://x.com/yolansyahnur/status/1892391158640242934,1546769453429702657,yolansyahnur
1892391042764460247,Thu Feb 20 01:49:18 +0000 2025,0,Banyak yang nakut-nakutin soal BBRI tapi faktanya fundamentalnya tetap kuat dan pertumbuhannya stabil! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/RQBDdiOPDK,1892391042764460247,https://pbs.twimg.com/media/GkMfni6W4AA-B8s.jpg,,in,,0,0,0,https://x.com/yolansyahnur/status/1892391042764460247,1546769453429702657,yolansyahnur
1892390950132920478,Thu Feb 20 01:48:56 +0000 2025,0,Fundamental BBRI solid banget! Jangan gampang percaya isu negatif bisnisnya masih tumbuh pesat! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/VfdS9P0oLe,1892390950132920478,https://pbs.twimg.com/media/GkMfiIebUAEdSq8.jpg,,in,,0,0,0,https://x.com/yolansyahnur/status/1892390950132920478,1546769453429702657,yolansyahnur
1892390821909189078,Thu Feb 20 01:48:25 +0000 2025,0,BBRI punya track record luar biasa! Jangan takut sama spekulasi cek aja data keuangannya yang tetap kokoh! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/MxjtR3w5Qx,1892390821909189078,https://pbs.twimg.com/media/GkMfakobUAAVi07.jpg,,in,,0,0,0,https://x.com/yolansyahnur/status/1892390821909189078,1546769453429702657,yolansyahnur
1892390706729173005,Thu Feb 20 01:47:58 +0000 2025,0,Saham BBRI tetap jadi pilihan kuat! Fundamentalnya solid bisnis terus maju nggak perlu takut sama konten yang bikin panik! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/wxGxJarONm,1892390706729173005,https://pbs.twimg.com/media/GkMfTnLbUAA5t4b.jpg,,in,,0,0,0,https://x.com/yolansyahnur/status/1892390706729173005,1546769453429702657,yolansyahnur
1892389804551393374,Thu Feb 20 01:44:22 +0000 2025,0,Kinerja BBRI nggak bisa diremehin! Konten negatif soal sahamnya nggak bakal bisa ngalahin fundamental yang kokoh! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/9nfMjxoWZM,1892389804551393374,https://pbs.twimg.com/media/GkMefARaoAA22Xt.jpg,,in,,0,0,0,https://x.com/slametwdd4/status/1892389804551393374,1547149223791333377,slametwdd4
1892387566801842339,Thu Feb 20 01:35:29 +0000 2025,0,BBRI Diskon Lagi Langsung Ada yang Sergap Potensi Dividen Final Gede https://t.co/gS6QewuDc7 via @InvestorID,1892387566801842339,,,in,"Jakarta, Indonesia",0,0,0,https://x.com/InvestorID/status/1892387566801842339,238091066,InvestorID
1892385150933102937,Thu Feb 20 01:25:53 +0000 2025,0,Takut soal saham BBRI? Lihat fundamentalnya! Stabil cuan terus dan bisnis makin besar. Data lebih penting dari rumor! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/nlOUWHqwyI,1892385150933102937,https://pbs.twimg.com/media/GkMaKkNbUAE30_s.jpg,,in,,0,0,0,https://x.com/slametwdd4/status/1892385150933102937,1547149223791333377,slametwdd4
1892384943256281378,Thu Feb 20 01:25:03 +0000 2025,0,Jangan termakan drama! BBRI masih jadi bank dengan fundamental terkuat kinerja moncer bisnis terus berkembang! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/m2ybnMyA1P,1892384943256281378,https://pbs.twimg.com/media/GkMaEpGWQAAfEqW.jpg,,in,,0,0,0,https://x.com/slametwdd4/status/1892384943256281378,1547149223791333377,slametwdd4
1892384844119736698,Thu Feb 20 01:24:40 +0000 2025,0,Cek laporan keuangan sebelum percaya konten nakut-nakutin! BBRI punya fundamental yang kokoh dan siap terus bertumbuh! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/Co48dYZ8wP,1892384844119736698,https://pbs.twimg.com/media/GkMZ-z_bUAMbpdu.jpg,,in,,0,0,0,https://x.com/slametwdd4/status/1892384844119736698,1547149223791333377,slametwdd4
1892384110384918751,Thu Feb 20 01:21:45 +0000 2025,0,YouTuber bisa bilang apa aja tapi angka nggak bisa bohong! BBRI tetap untung besar bisnisnya tetap jalan fundamentalnya kuat! #BRIuntukNegeri #BBRISolid #qrisbri https://t.co/oU4yNnJ6v8,1892384110384918751,https://pbs.twimg.com/media/GkMZUIcbUAE1PMD.jpg,,in,,0,0,0,https://x.com/slametwdd4/status/1892384110384918751,1547149223791333377,slametwdd4
1892383108869005625,Thu Feb 20 01:17:46 +0000 2025,0,BI HOLD SUKU BUNGA 5.75% &amp; VIEW #IHSG #ASII #BBCA #BBRI #BMRI #TLKM. #CTASaham #Saham #IDX #belajarsaham #fasttrading #AICTASaham #algoritmatradingctasaham #AstrocycleCTASaham #ElliottwaveCTASaham #tradeschoolctasaham #BI #BRIS #DATA #Danantara #rupiah #trading #trader https://t.co/k0IZHUimgE,1892383108869005625,https://pbs.twimg.com/media/GkMYaCsbUAETyGq.jpg,,in,Jakarta - Bandung - Bali,0,0,0,https://x.com/andri_zakarias/status/1892383108869005625,85741863,andri_zakarias
1892375705914102068,Thu Feb 20 00:49:48 +0000 2025,0,Saat saham BRI turun ternyata ada yang akumulasi. Broker Maybank Sekuritas Indonesia mencatatkan net buy saham BBRI mencapai Rp 460 8 miliar. Sumber: Investor id,1892376070864977963,,JunoArdhana,in,"Jakarta Utara, Indonesia",0,0,0,https://x.com/JunoArdhana/status/1892376070864977963,2336854009,JunoArdhana
1892375705914102068,Thu Feb 20 00:49:14 +0000 2025,0,Sebanyak 348 36 juta saham BBRI ditransaksikan frekuensi 43.071 kali dan nilai transaksi Rp 1 42 triliun.,1892375929441145113,,JunoArdhana,in,"Jakarta Utara, Indonesia",0,1,0,https://x.com/JunoArdhana/status/1892375929441145113,2336854009,JunoArdhana
1892375705914102068,Thu Feb 20 00:48:21 +0000 2025,0,Saham PT Bank Rakyat Indonesia Tbk (BBRI) atau BRI turun 3 13% ke Rp 4.020 pada perdagangan 19 Februari 2025 kemarin. https://t.co/Rd56FC4fkB,1892375705914102068,https://pbs.twimg.com/media/GkMRq97bUAAhA7U.jpg,,in,"Jakarta Utara, Indonesia",0,1,0,https://x.com/JunoArdhana/status/1892375705914102068,2336854009,JunoArdhana
1891783120703324668,Thu Feb 20 00:38:54 +0000 2025,0,@JhonSitorus_18 Tp bank bumn seperti bbri bmri bbni sahamnya banyak di borong investor asing di pasar bursa,1892373328020570429,,JhonSitorus_18,in,,0,0,1,https://x.com/bayoubeka/status/1892373328020570429,967202046112817153,bayoubeka
1891783120703324668,Thu Feb 20 00:28:31 +0000 2025,0,@JhonSitorus_18 bank bumn warna biru ada 2 bbri dan bmri dan bank swasta warna biru hanya bbca,1892370714235113927,,JhonSitorus_18,in,,0,0,0,https://x.com/bayoubeka/status/1892370714235113927,967202046112817153,bayoubeka
1892368388946530796,Thu Feb 20 00:19:17 +0000 2025,1,IHSG TECHNICAL VIEW (20/02) IHSG kemarin ditutup melemah -1.14% ke level 6795 dan disertai dengan net sell asing 1.13 T (all market). Saham yang paling banyak di jual asing adalah BBCA BMRI AMRT BBRI dan ERAA.,1892368388946530796,,,in,Jakarta Capital Region,0,1,0,https://x.com/bnisekuritas46/status/1892368388946530796,886784783434436608,bnisekuritas46
